"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANXA5.2",4.68899001904993e-121,0.712619911518126,0.829,0.461,1.71621723687246e-116,"7","ANXA5"
"ARPC2.3",7.57640927886847e-121,0.552877139381369,0.987,0.908,2.77304156015865e-116,"7","ARPC2"
"HIST1H1E.2",1.25943219736332e-119,0.948701025114781,0.924,0.641,4.6096477855695e-115,"7","HIST1H1E"
"MRPL10.3",3.56037427109704e-119,0.642472396630205,0.688,0.312,1.30313258696423e-114,"7","MRPL10"
"PPP1R18.4",3.92536584282617e-119,0.660113878131755,0.915,0.595,1.43672315213281e-114,"7","PPP1R18"
"RPS19.1",6.2861585494133e-117,-0.386402350904608,1,0.998,2.30079689067076e-112,"7","RPS19"
"HLA-B.5",1.52951863243061e-116,-0.464067294985604,1,0.999,5.59819114655928e-112,"7","HLA-B"
"CDCA7",4.63404981288472e-116,0.396759231771224,0.34,0.091,1.69610857201394e-111,"7","CDCA7"
"LCP1.3",2.13271597129068e-115,0.622283988652494,0.978,0.826,7.80595372652103e-111,"7","LCP1"
"MYO1F.4",1.16103705573136e-113,0.61561645312535,0.787,0.382,4.24951172768237e-109,"7","MYO1F"
"RGS1",1.93536140988668e-113,0.490059776376534,0.344,0.096,7.08361629632625e-109,"7","RGS1"
"CASP3",2.3433711538612e-113,0.357231936279907,0.316,0.082,8.57697276024736e-109,"7","CASP3"
"ZYX.1",2.50555569107671e-113,0.734015946961843,0.895,0.61,9.17058438490988e-109,"7","ZYX"
"CAPZA1.1",5.04107084815797e-113,0.622911832807224,0.733,0.352,1.8450823411343e-108,"7","CAPZA1"
"CLTA",6.03215028442041e-113,0.625388045621839,0.698,0.326,2.20782732560071e-108,"7","CLTA"
"CST7.5",2.1841187702575e-112,0.695082636786258,0.979,0.752,7.99409311101949e-108,"7","CST7"
"YWHAE",2.84440998079433e-112,0.601376968299329,0.615,0.258,1.04108249707053e-107,"7","YWHAE"
"RPL26.1",4.46364096027793e-112,-0.327687720273047,0.999,0.996,1.63373722787132e-107,"7","RPL26"
"CFL1.4",7.98482958219466e-112,0.517586845410847,0.999,0.977,2.92252747537907e-107,"7","CFL1"
"PLAAT4.3",8.60637909169557e-111,0.62914566969599,0.98,0.825,3.15002081135149e-106,"7","PLAAT4"
"ATXN1",1.48457765053692e-110,0.432537701046623,0.452,0.149,5.43370265873019e-106,"7","ATXN1"
"CD27.3",5.88706776222436e-110,0.726687742498313,0.908,0.665,2.15472567165174e-105,"7","CD27"
"OGT.1",1.70554002713191e-108,0.64397405741442,0.709,0.336,6.2424470533055e-104,"7","OGT"
"ATP5F1B.2",1.00462295924213e-107,0.580328401314596,0.951,0.767,3.67702049312211e-103,"7","ATP5F1B"
"RPS13.5",1.26060901708585e-107,-0.536999543188885,0.998,0.993,4.61395506343593e-103,"7","RPS13"
"MT-ND2.4",8.09595261008529e-106,-0.776550843233835,0.935,0.936,2.96319961481732e-101,"7","MT-ND2"
"PSMA4.2",1.67348206814479e-104,0.61866608661091,0.666,0.312,6.12511171761674e-100,"7","PSMA4"
"PYCARD.3",1.86542833412888e-104,0.595755296045492,0.74,0.366,6.82765424574513e-100,"7","PYCARD"
"SAMD3.4",3.43168582556728e-104,0.613757460059965,0.88,0.549,1.25603132901588e-99,"7","SAMD3"
"RPL18A.4",9.53946522499711e-104,-0.39565704730955,0.997,0.996,3.49153966700119e-99,"7","RPL18A"
"RAC2.2",1.35426892051531e-103,0.4773474198001,0.988,0.939,4.9567596759781e-99,"7","RAC2"
"CD5",1.31510718099042e-102,0.670985555032768,0.791,0.446,4.81342379314303e-98,"7","CD5"
"RPL35A.3",1.51390744557016e-102,-0.388403532984253,0.997,0.993,5.54105264153135e-98,"7","RPL35A"
"TXNDC17",4.09564957723389e-102,0.439938909577995,0.506,0.184,1.49904870176338e-97,"7","TXNDC17"
"HIST1H1D.2",7.50385973163776e-102,0.702311155613053,0.762,0.396,2.74648770037674e-97,"7","HIST1H1D"
"BTN3A2.2",1.49009453696574e-101,0.579594179125353,0.677,0.317,5.45389501474832e-97,"7","BTN3A2"
"RPS3A.4",1.71095768926094e-101,-0.457060103096267,1,0.995,6.26227623846395e-97,"7","RPS3A"
"SEPTIN6.2",3.69174881761463e-101,0.663902457266187,0.887,0.618,1.35121698473513e-96,"7","SEPTIN6"
"PLEK.5",4.23345867728317e-101,0.567460267019251,0.763,0.365,1.54948821047241e-96,"7","PLEK"
"ENC1.1",1.8522993541296e-100,0.399790576768676,0.389,0.124,6.77960086604973e-96,"7","ENC1"
"SEM1.1",2.12612137989117e-100,0.623609251719271,0.815,0.482,7.78181686253966e-96,"7","SEM1"
"ATP5F1A",5.88330553311192e-100,0.608308179086405,0.882,0.609,2.15334865817429e-95,"7","ATP5F1A"
"SLC25A5.2",1.09445964199205e-99,0.672381634868204,0.903,0.683,4.0058317356551e-95,"7","SLC25A5"
"DECR1.1",1.53649926079091e-99,0.57698100946863,0.684,0.33,5.6237409444208e-95,"7","DECR1"
"PTPRJ.1",1.86663747618717e-99,0.463697400781701,0.541,0.209,6.83207982659266e-95,"7","PTPRJ"
"GBP2.1",6.32634623080334e-99,0.628443121634517,0.729,0.375,2.31550598393633e-94,"7","GBP2"
"KIAA0930",8.13504861917574e-99,0.313938226148746,0.26,0.065,2.97750914510451e-94,"7","KIAA0930"
"CAPZB.1",1.00955487111987e-98,0.528991322293038,0.965,0.832,3.69507178378585e-94,"7","CAPZB"
"RPL5.4",1.39721663865976e-98,-0.486246637112828,0.996,0.988,5.11395261915857e-94,"7","RPL5"
"CD3D.3",1.59467157192092e-98,0.504332391121284,0.988,0.915,5.83665742038776e-94,"7","CD3D"
"TPM4.3",2.30685682207333e-98,0.603944688031778,0.64,0.293,8.44332665447058e-94,"7","TPM4"
"MARK4",6.30047344089229e-98,0.34953373412693,0.318,0.091,2.30603628410099e-93,"7","MARK4"
"GLIPR1.3",8.88983444730506e-98,0.685901887045426,0.786,0.44,3.25376830605813e-93,"7","GLIPR1"
"SLAMF6.1",1.65580756441968e-97,0.527498461086165,0.581,0.243,6.06042126653247e-93,"7","SLAMF6"
"GBP5.1",1.98771967616703e-97,0.704914990867091,0.816,0.469,7.27525278673896e-93,"7","GBP5"
"GZMH.6",9.18945241472509e-97,0.706020972809636,0.9,0.532,3.36343147831353e-92,"7","GZMH"
"IER2.3",1.2697184852154e-96,-1.00056536736916,0.888,0.904,4.6472966277369e-92,"7","IER2"
"IFITM1.3",8.01620925336047e-96,-0.587524244443161,0.975,0.978,2.93401274882247e-91,"7","IFITM1"
"ARHGAP30.1",1.02006342746872e-94,0.60905471207316,0.817,0.48,3.73353415087825e-90,"7","ARHGAP30"
"CAP1.4",1.03740113521146e-94,0.569410460484336,0.943,0.706,3.79699189498747e-90,"7","CAP1"
"MIF",1.42985086181826e-94,-0.656097362411888,0.835,0.89,5.23339713934101e-90,"7","MIF"
"GBP1",6.10747356709686e-94,0.602340214288022,0.52,0.215,2.23539640029312e-89,"7","GBP1"
"IQGAP2.1",7.56080119532048e-94,0.657200065429756,0.718,0.379,2.76732884549925e-89,"7","IQGAP2"
"MRPL23",2.04177241512852e-93,0.368654403031976,0.365,0.117,7.4730912166119e-89,"7","MRPL23"
"SH3KBP1.1",3.26361684968216e-93,0.601697085797642,0.804,0.458,1.19451640315217e-88,"7","SH3KBP1"
"TAP1.2",2.41601581275504e-92,0.598384288430066,0.844,0.534,8.84285947626474e-88,"7","TAP1"
"FABP5",3.36761705440072e-92,0.412995330591641,0.376,0.125,1.23258151808121e-87,"7","FABP5"
"CCL4.5",2.90252858764619e-91,0.347406044761087,0.733,0.359,1.06235448836438e-86,"7","CCL4"
"CEMIP2.1",3.0276434189734e-91,0.408699923218651,0.437,0.157,1.10814776777845e-86,"7","CEMIP2"
"CLIC1.4",3.53742941368643e-91,0.529031149058933,0.978,0.82,1.29473453970337e-86,"7","CLIC1"
"CBLB.2",4.29662515957694e-91,0.610851005049148,0.728,0.384,1.57260777465676e-86,"7","CBLB"
"PRDX3",9.18063117456019e-91,0.413792819775309,0.495,0.189,3.36020281620078e-86,"7","PRDX3"
"ATP5F1C.1",3.08685693550208e-90,0.556537402343371,0.846,0.545,1.12982050696311e-85,"7","ATP5F1C"
"JUN.3",9.38675473134469e-90,-1.0307032820143,0.915,0.931,3.43564609921947e-85,"7","JUN"
"MAP2K2.1",1.0329147607704e-89,0.574899790288077,0.86,0.556,3.78057131589574e-85,"7","MAP2K2"
"ACTR3.2",2.52027705697597e-89,0.590423648183586,0.911,0.685,9.22446605623776e-85,"7","ACTR3"
"TMSB4X.3",2.5315506832503e-89,0.366775070601923,1,0.998,9.26572865576441e-85,"7","TMSB4X"
"SMC4",5.24344947523459e-89,0.361432616454446,0.391,0.133,1.91915494243061e-84,"7","SMC4"
"CARHSP1.1",5.97991630793012e-89,0.459416169893511,0.548,0.224,2.1887091678655e-84,"7","CARHSP1"
"ARPC1B.3",1.07290231969552e-87,0.516023124626523,0.975,0.87,3.92692978031758e-83,"7","ARPC1B"
"JAML",2.93275168838908e-87,0.443840913224619,0.458,0.178,1.07341644546729e-82,"7","JAML"
"OVCA2",4.12506801437819e-87,0.396416442574675,0.483,0.188,1.50981614394256e-82,"7","OVCA2"
"DYNLL1.5",7.33361626796526e-87,0.602388118891668,0.798,0.46,2.68417689023796e-82,"7","DYNLL1"
"MYL6.3",1.8020824893637e-86,0.429820644643157,0.987,0.946,6.59580211932007e-82,"7","MYL6"
"TXNL1",1.98018782758279e-86,0.501624343022951,0.661,0.318,7.24768546773578e-82,"7","TXNL1"
"SQOR",1.98784911931232e-86,0.438718205146876,0.51,0.207,7.27572656159503e-82,"7","SQOR"
"LTB.7",2.13113754901863e-86,-1.57513606970998,0.343,0.6,7.80017654316311e-82,"7","LTB"
"TGFBR3.5",2.45271703953115e-86,0.500594025922215,0.669,0.314,8.97718963638797e-82,"7","TGFBR3"
"SERPINB1.2",8.7543757757353e-86,0.593304723853062,0.762,0.443,3.20418907767688e-81,"7","SERPINB1"
"HLA-DQA1.1",1.25639051647618e-85,0.450204365478855,0.281,0.083,4.59851492935446e-81,"7","HLA-DQA1"
"LIMS1",5.89361408775478e-85,0.467909584475122,0.462,0.182,2.15712169225913e-80,"7","LIMS1"
"SLC9A3R1.5",1.26898494959729e-84,0.527684581026642,0.946,0.744,4.64461181402104e-80,"7","SLC9A3R1"
"MSN.3",1.28979466532945e-84,0.566135732009832,0.951,0.754,4.72077745457231e-80,"7","MSN"
"FAM160B1",2.80286006534622e-84,0.378625167317279,0.407,0.147,1.02587481251737e-79,"7","FAM160B1"
"PCBP2",2.93019305054817e-84,0.579250283973061,0.89,0.652,1.07247995843114e-79,"7","PCBP2"
"NOP10.2",4.08074149688498e-84,0.521410511205932,0.732,0.385,1.49359219527487e-79,"7","NOP10"
"PPIA.1",7.31191631195501e-84,0.461290291989376,0.995,0.952,2.67623448933865e-79,"7","PPIA"
"PARK7.1",1.19742668111999e-83,0.541927149565443,0.905,0.666,4.38270139556728e-79,"7","PARK7"
"MT-ND6.4",2.09863802070944e-83,0.679282075007382,0.779,0.491,7.68122501959864e-79,"7","MT-ND6"
"ACTN4.4",2.19421470257772e-83,0.522152041410072,0.718,0.36,8.0310452329047e-79,"7","ACTN4"
"MRPS27",8.15832947934181e-83,0.353816837065,0.39,0.138,2.9860301727339e-78,"7","MRPS27"
"RPL27.1",1.18809440626437e-82,-0.456807382697283,0.972,0.97,4.34854433636823e-78,"7","RPL27"
"CD99.4",1.72001888127017e-82,0.471257848214543,0.981,0.869,6.29544110733694e-78,"7","CD99"
"PSMB8.3",2.95022395579379e-82,0.540123697537127,0.937,0.719,1.07981147006009e-77,"7","PSMB8"
"FLNA.3",6.57838881702571e-82,0.565527149417203,0.96,0.769,2.40775609091958e-77,"7","FLNA"
"CLEC2B.3",4.06993040913275e-81,0.533772651949446,0.908,0.622,1.48963522904668e-76,"7","CLEC2B"
"GZMK.5",4.23004868017573e-81,0.647799718401159,0.83,0.467,1.54824011743112e-76,"7","GZMK"
"SLF1.4",6.01788559596146e-81,0.400624362741968,0.537,0.227,2.20260630697786e-76,"7","SLF1"
"PRPF38A",8.24055905618441e-81,0.363375771976173,0.419,0.158,3.01612702015406e-76,"7","PRPF38A"
"GALM",1.49299067174968e-80,0.324785675196196,0.334,0.111,5.464495157671e-76,"7","GALM"
"USP28.1",1.56124684727848e-80,0.369453070398889,0.407,0.149,5.71431958572398e-76,"7","USP28"
"NELFCD",1.81250212604431e-80,0.418586307205172,0.526,0.22,6.63393903153478e-76,"7","NELFCD"
"SIRPG.1",3.87390484019821e-80,0.493808412590629,0.504,0.216,1.41788791056095e-75,"7","SIRPG"
"LGALS9",4.94647846806655e-80,0.301856831668996,0.267,0.078,1.81046058409704e-75,"7","LGALS9"
"MMADHC",9.38332537367282e-80,0.503677568308096,0.656,0.326,3.43439092001799e-75,"7","MMADHC"
"ARHGAP9.1",1.32172487446284e-79,0.58064486781475,0.811,0.495,4.83764521302145e-75,"7","ARHGAP9"
"ELOVL5.1",4.93625327128568e-79,0.481758772043717,0.626,0.298,1.80671805982327e-74,"7","ELOVL5"
"PTPRC.4",5.09361002827146e-79,0.399241727521425,0.994,0.959,1.86431220644764e-74,"7","PTPRC"
"HACD4.1",1.14485951729283e-78,0.487163819922932,0.618,0.296,4.1903003192435e-74,"7","HACD4"
"WDR1.3",3.28926773145554e-78,0.539143730057775,0.882,0.637,1.20390488239004e-73,"7","WDR1"
"ARID5B.2",3.51936616025723e-78,0.456092478338211,0.59,0.273,1.28812320831575e-73,"7","ARID5B"
"RPL14.3",3.76913830598809e-78,-0.346660927447459,0.998,0.993,1.3795423113747e-73,"7","RPL14"
"DENND1B",4.78604528694237e-78,0.300739384368,0.31,0.1,1.75174043547378e-73,"7","DENND1B"
"MRPL37",5.56357192062361e-78,0.40214028887461,0.448,0.177,2.03632295866745e-73,"7","MRPL37"
"EVI2B.1",7.37324448022696e-78,0.557862680852178,0.807,0.482,2.69868121220787e-73,"7","EVI2B"
"RABGAP1L.2",1.56266303707342e-77,0.482379538557858,0.65,0.321,5.71950298199242e-73,"7","RABGAP1L"
"AC092821.3",2.63342235375341e-77,0.391415064679945,0.306,0.1,9.63858915697284e-73,"7","AC092821.3"
"SLFN5.1",2.78718390023696e-77,0.572888578020603,0.788,0.479,1.02013717932573e-72,"7","SLFN5"
"NCKAP1L.3",3.9366690628116e-77,0.480402734034456,0.615,0.295,1.44086024367967e-72,"7","NCKAP1L"
"WAS.2",6.20486090887464e-77,0.526307549013918,0.879,0.608,2.27104114125721e-72,"7","WAS"
"MYO1G.4",6.95514025666095e-77,0.516318133288183,0.829,0.496,2.54565088534047e-72,"7","MYO1G"
"HMGB2.2",1.10744373504144e-76,0.526229356958353,0.767,0.446,4.05335481462519e-72,"7","HMGB2"
"ITGA4.3",1.10961262688718e-76,0.584796529203836,0.935,0.733,4.06129317566976e-72,"7","ITGA4"
"ADA.3",1.65745271478486e-76,0.415799659890299,0.577,0.257,6.06644268138407e-72,"7","ADA"
"SYTL2",1.94489805514445e-76,0.419121693247336,0.41,0.159,7.1185213716342e-72,"7","SYTL2"
"MPG",2.16859707278713e-76,0.396891818795525,0.612,0.282,7.93728214610819e-72,"7","MPG"
"CHCHD5",3.33165308826682e-76,0.397374763231696,0.542,0.236,1.21941834683654e-71,"7","CHCHD5"
"CIRBP",3.55238743942895e-76,-0.650672622787382,0.81,0.846,1.30020932670539e-71,"7","CIRBP"
"RAB37.1",4.1102681491268e-76,0.470493689014863,0.598,0.284,1.5043992452619e-71,"7","RAB37"
"TRG-AS1.2",8.91260993671791e-76,0.5040950642012,0.628,0.309,3.26210436293812e-71,"7","TRG-AS1"
"CCDC28B",9.86648128334687e-76,0.252513373102986,0.267,0.08,3.61123081451779e-71,"7","CCDC28B"
"NOA1",1.03217040713037e-75,0.354846387409478,0.401,0.151,3.77784690713787e-71,"7","NOA1"
"CLTC",1.54541884073954e-75,0.393883340167805,0.494,0.205,5.65638749899078e-71,"7","CLTC"
"LAG3.2",1.79087457249586e-75,0.502562094005417,0.616,0.296,6.55478002279208e-71,"7","LAG3"
"CELF2.2",3.06112068403975e-75,0.518711751799653,0.78,0.47,1.12040078156539e-70,"7","CELF2"
"SP140.1",8.99657176328829e-75,0.430127876656912,0.557,0.255,3.29283523108115e-70,"7","SP140"
"BIN1",9.21821352320034e-75,0.517187413784048,0.881,0.614,3.37395833162656e-70,"7","BIN1"
"HDAC1",1.36917348571957e-74,0.526280039708956,0.784,0.48,5.01131187508221e-70,"7","HDAC1"
"PARP1.1",1.97472953565958e-74,0.471589811477065,0.663,0.341,7.22770757346762e-70,"7","PARP1"
"OXA1L",2.00234696844979e-74,0.457313466505186,0.673,0.343,7.32879013922307e-70,"7","OXA1L"
"PTMA",3.68348206485423e-74,-0.372281735494568,0.997,0.994,1.3481912705573e-69,"7","PTMA"
"PRF1.6",8.26633784021446e-74,0.542451121542822,0.924,0.615,3.02556231289689e-69,"7","PRF1"
"BTF3.2",8.52556287446983e-74,0.375134624516514,0.995,0.956,3.1204412676847e-69,"7","BTF3"
"PFDN4",1.92391367162891e-73,0.395115997705186,0.516,0.225,7.04171642952898e-69,"7","PFDN4"
"RAB27A.1",2.12155729243551e-73,0.431359212981143,0.573,0.264,7.7651118460432e-69,"7","RAB27A"
"RB1CC1",2.33575467801097e-73,0.407286545722504,0.484,0.205,8.54909569698794e-69,"7","RB1CC1"
"ATRX.2",5.81379059564768e-73,0.530786114278571,0.781,0.471,2.12790549591301e-68,"7","ATRX"
"TNFRSF1B.3",5.86227342096261e-73,0.505218796723787,0.671,0.346,2.14565069480653e-68,"7","TNFRSF1B"
"INPP5D.2",7.11683894480369e-73,0.406105038973003,0.55,0.247,2.6048342221876e-68,"7","INPP5D"
"ATP5MG.1",1.03250144197248e-72,0.406998779306883,0.987,0.92,3.77905852776347e-68,"7","ATP5MG"
"GBP4.1",1.03378403940252e-72,0.466826656075068,0.587,0.278,3.78375296261715e-68,"7","GBP4"
"FAM118A.1",1.35357546922323e-72,0.345884455869317,0.358,0.13,4.95422157490394e-68,"7","FAM118A"
"PSMB2.2",1.78919167123603e-72,0.455121530279424,0.686,0.356,6.54862043589098e-68,"7","PSMB2"
"CALM3.1",2.51861203109386e-72,0.569153357214029,0.868,0.605,9.21837189500665e-68,"7","CALM3"
"ATP2B4.3",5.6780778457802e-72,0.433762950228599,0.583,0.272,2.07823327233401e-67,"7","ATP2B4"
"S1PR4",6.30490428787309e-72,0.546546892865521,0.829,0.555,2.30765801840443e-67,"7","S1PR4"
"WNK1.2",1.41619983528982e-71,0.468388582109893,0.667,0.342,5.18343301714428e-67,"7","WNK1"
"VAMP5",1.9791336742351e-71,0.503213307592967,0.681,0.365,7.2438271610679e-67,"7","VAMP5"
"OAS1",2.93221626548237e-71,0.316356435260629,0.264,0.082,1.0732204753292e-66,"7","OAS1"
"CD6",7.78370711314667e-71,0.563880517245614,0.808,0.519,2.84891464048281e-66,"7","CD6"
"QARS",7.79269740667573e-71,0.366301772699251,0.411,0.161,2.85220517781738e-66,"7","QARS"
"ARHGAP25.2",1.0648433231363e-70,0.438018096343569,0.64,0.319,3.89743304701117e-66,"7","ARHGAP25"
"RPL13A.3",1.37125665380068e-70,0.453462263499251,0.984,0.918,5.01893647857586e-66,"7","RPL13A"
"ADAP1",1.40792909769314e-70,0.296690169108366,0.4,0.151,5.15316129046667e-66,"7","ADAP1"
"EIF3A.2",1.60540341661832e-70,0.515837913077276,0.75,0.433,5.87593704516472e-66,"7","EIF3A"
"PPP1R12A.2",2.21068383163702e-70,0.5153234435051,0.757,0.443,8.09132389217465e-66,"7","PPP1R12A"
"IGBP1.1",5.61155118746778e-70,0.483819351656297,0.718,0.406,2.05388385012508e-65,"7","IGBP1"
"APBB1IP.1",6.82672240852609e-70,0.472927978433593,0.88,0.613,2.49864866874463e-65,"7","APBB1IP"
"RPL38.3",2.08130255481036e-69,-0.440714919599279,0.973,0.967,7.61777548086141e-65,"7","RPL38"
"SNX18",3.11278401942766e-69,0.318387058206222,0.296,0.099,1.13931007895072e-64,"7","SNX18"
"RPL8.5",3.44932266182049e-69,-0.374622409133607,0.999,0.993,1.26248658745292e-64,"7","RPL8"
"KLF2",4.66860393293744e-69,-0.558731019512495,0.957,0.95,1.70875572549443e-64,"7","KLF2"
"IFI27L2.3",5.06903693453e-69,0.441295957604454,0.663,0.343,1.85531820840732e-64,"7","IFI27L2"
"ISG20.2",6.69635152773908e-69,0.489362182433378,0.872,0.607,2.45093162266778e-64,"7","ISG20"
"SMS",1.90073684145429e-68,0.399849636936085,0.498,0.219,6.95688691340683e-64,"7","SMS"
"GOLGB1",2.94092748548744e-68,0.40251022122995,0.472,0.203,1.07640886896326e-63,"7","GOLGB1"
"STK10.2",2.94723176854707e-68,0.518860555092497,0.772,0.46,1.07871629960591e-63,"7","STK10"
"RPL12.4",1.22999009013084e-67,-0.368192592824491,0.998,0.994,4.50188672888789e-63,"7","RPL12"
"MYH9.1",1.67846802274257e-67,0.564286041458539,0.935,0.725,6.14336081004008e-63,"7","MYH9"
"STK39",1.74989678247777e-67,0.309383870551106,0.427,0.173,6.40479721354688e-63,"7","STK39"
"DCP2",1.8169115058787e-67,0.359867214530597,0.527,0.233,6.65007780266662e-63,"7","DCP2"
"CD2.4",3.26517892158415e-67,0.515457698030055,0.96,0.803,1.19508813708902e-62,"7","CD2"
"ZEB2.6",4.15300530193663e-67,0.419153498631192,0.662,0.334,1.52004147056182e-62,"7","ZEB2"
"DENND1C",4.42054989622883e-67,0.422986804128165,0.6,0.294,1.61796546751872e-62,"7","DENND1C"
"SNHG8.3",6.04165213950484e-67,-0.84247595820811,0.54,0.662,2.21130509958017e-62,"7","SNHG8"
"EIF4E2",7.5631997929808e-67,0.364388797931884,0.534,0.24,2.7682067562289e-62,"7","EIF4E2"
"ANXA2.3",9.31371379301466e-67,0.581370740417376,0.776,0.477,3.40891238538129e-62,"7","ANXA2"
"GDI2",9.5069216813339e-67,0.483741328791229,0.801,0.514,3.47962840458502e-62,"7","GDI2"
"NAA50",1.00207235053838e-66,0.352689066222629,0.48,0.207,3.66768501020552e-62,"7","NAA50"
"PSMB10.3",2.44487047055646e-66,0.479935960606289,0.887,0.652,8.9484704092837e-62,"7","PSMB10"
"TCF7.7",5.06835746735908e-66,-1.01265447293211,0.346,0.573,1.8550695166281e-61,"7","TCF7"
"TRANK1",6.54661408089245e-66,0.368462876910895,0.442,0.187,2.39612621974745e-61,"7","TRANK1"
"NCOR1.2",7.98444010948218e-66,0.478800657078435,0.775,0.461,2.92238492447157e-61,"7","NCOR1"
"ITGAL.6",9.27895424765739e-66,0.434027362455202,0.709,0.385,3.39619004418508e-61,"7","ITGAL"
"ELF4",1.00852488372816e-65,0.255248766658933,0.274,0.09,3.69130192693343e-61,"7","ELF4"
"HIGD2A",1.88282774588112e-65,0.454874823123112,0.942,0.738,6.89133783269949e-61,"7","HIGD2A"
"RAB8B.2",2.59585928015591e-65,0.364316194253046,0.572,0.269,9.50110455129864e-61,"7","RAB8B"
"FMNL1.2",2.60062842407289e-65,0.463357752381161,0.847,0.548,9.51856009494918e-61,"7","FMNL1"
"MPST",3.10962386241828e-65,0.305877326369993,0.334,0.123,1.13815342988371e-60,"7","MPST"
"KDM5A.1",3.20377177774694e-65,0.393850735513857,0.54,0.252,1.17261250837316e-60,"7","KDM5A"
"LGALS1.6",4.29608685129109e-65,0.810802585107197,0.741,0.448,1.57241074844105e-60,"7","LGALS1"
"MRPL28",4.70256484255987e-65,0.341172554836455,0.497,0.218,1.72118575802534e-60,"7","MRPL28"
"LSM2",5.17478836325192e-65,0.41704829809182,0.618,0.312,1.89402428883384e-60,"7","LSM2"
"CCDC167.1",6.59405591606176e-65,0.374301551132639,0.549,0.253,2.41349040583776e-60,"7","CCDC167"
"GNLY.7",8.64684424832827e-65,-1.55794907008841,0.256,0.516,3.16483146333063e-60,"7","GNLY"
"YARS.1",8.89996012955429e-65,0.399350971542457,0.569,0.271,3.25747440701817e-60,"7","YARS"
"FCMR.2",1.11253216745271e-64,0.522465271915867,0.854,0.588,4.07197898609368e-60,"7","FCMR"
"PTRHD1",1.92374497740569e-64,0.397095430059881,0.541,0.256,7.04109899180256e-60,"7","PTRHD1"
"PSMB9.3",6.59889589287707e-64,0.44593867223976,0.95,0.776,2.41526188575194e-59,"7","PSMB9"
"CKAP2",6.71132555773732e-64,0.25698407396325,0.29,0.1,2.45641226738744e-59,"7","CKAP2"
"ATP6V1D",6.76335230122508e-64,0.256796619870798,0.299,0.104,2.47545457577139e-59,"7","ATP6V1D"
"AUTS2",7.29080461089647e-64,0.357749309826025,0.295,0.105,2.66850739563422e-59,"7","AUTS2"
"POLD4",9.61649474163951e-64,0.462414276146373,0.784,0.482,3.51973324038748e-59,"7","POLD4"
"DDX5",2.32998467980096e-63,-0.432343638397457,0.988,0.978,8.52797692653949e-59,"7","DDX5"
"YWHAB.1",2.72034542546583e-63,0.402991043994695,0.966,0.853,9.95673629174747e-59,"7","YWHAB"
"RHOF.1",3.42475614555753e-63,0.472410418959419,0.792,0.505,1.25349499683551e-58,"7","RHOF"
"WSB2",8.2561912194344e-63,0.302100721434146,0.387,0.154,3.02184854822518e-58,"7","WSB2"
"ATXN7L1",8.27591707350029e-63,0.267327823745465,0.282,0.096,3.02906840807184e-58,"7","ATXN7L1"
"TWF2",9.73274536130776e-63,0.442903442023837,0.776,0.473,3.56228212969225e-58,"7","TWF2"
"NMI",1.11552359089299e-62,0.340803649771393,0.435,0.186,4.08292789502743e-58,"7","NMI"
"DBI.4",1.33368809112895e-62,0.460113031016559,0.885,0.627,4.88143178234108e-58,"7","DBI"
"PCBD1",1.67330195542158e-62,0.264410986437127,0.324,0.119,6.12445248703853e-58,"7","PCBD1"
"OSTF1.3",1.77579401854321e-62,0.44802764748566,0.804,0.509,6.49958368727001e-58,"7","OSTF1"
"ZBTB38.2",2.35384351615614e-62,0.422247255708967,0.575,0.285,8.61530265348308e-58,"7","ZBTB38"
"MSL3.1",2.66632744903299e-62,0.354581992432016,0.469,0.209,9.75902509620563e-58,"7","MSL3"
"PTPN18.3",3.45809834553782e-62,0.388605606635699,0.574,0.279,1.2656985754503e-57,"7","PTPN18"
"IQGAP1.4",3.69390125814012e-62,0.466377813432353,0.794,0.504,1.35200479949186e-57,"7","IQGAP1"
"GPRIN3",4.26896944916165e-62,0.300269613741816,0.4,0.162,1.56248550808765e-57,"7","GPRIN3"
"ABI3.5",4.48105492957368e-62,0.382981816981166,0.597,0.292,1.64011091477326e-57,"7","ABI3"
"PRKCH.2",4.54650529271086e-62,0.454222030001439,0.821,0.539,1.6640664021851e-57,"7","PRKCH"
"CHMP2A.1",5.91575584135892e-62,0.374844988387932,0.575,0.279,2.16522579549578e-57,"7","CHMP2A"
"SKA2",1.63344969957227e-61,0.285738489069256,0.384,0.154,5.97858924540445e-57,"7","SKA2"
"AKIRIN2.1",2.34509066566225e-61,0.39091478444384,0.569,0.279,8.58326634539041e-57,"7","AKIRIN2"
"KDM7A",2.35135671656054e-61,0.270800281893449,0.315,0.115,8.60620071828323e-57,"7","KDM7A"
"HSBP1",2.82996070793281e-61,0.303102098612938,0.385,0.155,1.03579391871049e-56,"7","HSBP1"
"SHKBP1.1",2.91372285696584e-61,0.409271460809991,0.672,0.363,1.06645170287807e-56,"7","SHKBP1"
"SARS2",5.20125856991365e-61,0.251210613577405,0.259,0.086,1.9037126491741e-56,"7","SARS2"
"PPP1CC",6.74368577931508e-61,0.433553253884958,0.754,0.452,2.46825643208711e-56,"7","PPP1CC"
"RMND5A",7.33494415383961e-61,0.372162859235746,0.51,0.237,2.68466290974683e-56,"7","RMND5A"
