"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ICAM2",2.4164067163473e-50,0.301716301338738,0.456,0.305,8.84429022250276e-46,"2","ICAM2"
"LINC01138.1",3.54216295700332e-50,0.332420569591966,0.701,0.563,1.29646706389279e-45,"2","LINC01138"
"PDCD4.1",3.19852886634926e-49,0.301250263080057,0.605,0.448,1.17069355037249e-44,"2","PDCD4"
"IFITM2.2",4.62751959876527e-49,-0.420898133329804,0.877,0.884,1.69371844834408e-44,"2","IFITM2"
"TAGAP",5.61853066309127e-49,0.318829713477123,0.703,0.554,2.05643840799804e-44,"2","TAGAP"
"CXCR3.2",5.95496371517668e-49,0.28649999156592,0.517,0.349,2.17957626939182e-44,"2","CXCR3"
"TXNIP",2.08454940042972e-48,0.252716202810722,0.962,0.904,7.62965926051281e-44,"2","TXNIP"
"MCUB.1",6.57602128306506e-48,0.27425044103644,0.708,0.547,2.40688954981464e-43,"2","MCUB"
"GNAI2.1",1.03637437287921e-47,-0.329731970402438,0.821,0.839,3.79323384217521e-43,"2","GNAI2"
"UBB.1",1.39770516839201e-47,-0.319199202941639,0.885,0.894,5.11574068683158e-43,"2","UBB"
"ZFP36L2",1.68285991973546e-47,0.261565429594693,0.987,0.954,6.15943559222374e-43,"2","ZFP36L2"
"SAMD3.2",5.43527200295687e-47,-0.440919112071374,0.48,0.583,1.98936390580224e-42,"2","SAMD3"
"ARL4C.1",5.9159738334618e-47,-0.36084771409789,0.831,0.847,2.16530558278535e-42,"2","ARL4C"
"IDH2.1",1.0538029260114e-46,-0.446655703327794,0.369,0.486,3.85702408949431e-42,"2","IDH2"
"CAP1.1",1.27245291517198e-46,-0.404145859384085,0.684,0.726,4.65730491482095e-42,"2","CAP1"
"PIM2.1",1.68746571201358e-46,0.305801032395497,0.431,0.289,6.17629325254091e-42,"2","PIM2"
"PLAAT4.1",3.67425935598909e-46,-0.352759901865746,0.828,0.835,1.34481566688557e-41,"2","PLAAT4"
"PIK3IP1.2",7.14399305178106e-46,0.263336265158087,0.544,0.385,2.61477289688239e-41,"2","PIK3IP1"
"CD52.2",1.30228058935572e-45,-0.295485990980554,0.965,0.953,4.76647718510086e-41,"2","CD52"
"GNG2.1",5.51408554792649e-45,-0.450949918532612,0.476,0.579,2.01821045139657e-40,"2","GNG2"
"TGFB1.1",2.74356083148588e-44,-0.330878660781493,0.877,0.882,1.00417069993215e-39,"2","TGFB1"
"MATK.2",3.55247735998976e-44,-0.43031491032689,0.455,0.562,1.30024223852985e-39,"2","MATK"
"GAS5.1",3.69676745073619e-44,0.283182566947181,0.706,0.568,1.35305385464395e-39,"2","GAS5"
"MYO1F.1",3.73988964715451e-44,-0.445201085042594,0.298,0.424,1.36883700975502e-39,"2","MYO1F"
"LCP1.1",9.2605345700273e-44,-0.386347993815876,0.825,0.837,3.38944825797569e-39,"2","LCP1"
"GIMAP5.1",8.19857780029535e-43,0.296142877726445,0.623,0.478,3.0007614606861e-38,"2","GIMAP5"
