"","x"
"380","IGHV3-30"
"381","IGHVII-30-1"
"382","IGHV3-30-2"
"383","IGHV4-31"
"384","IGHVII-30-21"
"385","IGHV3-29"
"386","IGHV3-33"
"387","IGHVII-33-1"
"388","IGHV3-33-2"
"389","IGHV4-34"
"390","IGHV7-34-1"
"391","IGHV3-35"
"392","IGHV3-36"
"393","IGHV3-37"
"394","IGHV3-38"
"395","IGHVIII-38-1"
"396","IGHV4-39"
"397","IGHV7-40"
"398","IGHVII-40-1"
"399","IGHV3-41"
"400","IGHV3-42"
"401","IGHV3-43"
"402","IGHVII-43-1"
"403","IGHVIII-44"
"404","IGHVIV-44-1"
"405","IGHVII-44-2"
"406","IGHV1-45"
"407","IGHV1-46"
"408","IGHVII-46-1"
"409","IGHV3-47"
"410","IGHVIII-47-1"
"411","IGHV3-48"
"412","IGHV3-49"
"413","IGHVII-49-1"
"414","IGHV3-50"
"415","IGHV5-51"
"416","IGHVIII-51-1"
"417","IGHVII-51-2"
"418","IGHV3-52"
"419","IGHV3-53"
"420","IGHVII-53-1"
"421","IGHV3-54"
"422","IGHV4-55"
"423","IGHV7-56"
"424","IGHV3-57"
"425","IGHV1-58"
"426","IGHV4-59"
"427","IGHV3-60"
"428","IGHVII-60-1"
"429","IGHV4-61"
"430","IGHV3-62"
"431","IGHVII-62-1"
"432","IGHV3-63"
"433","IGHV3-64"
"434","IGHV3-65"
"435","IGHVII-65-1"
"436","IGHV3-66"
"437","IGHV1-67"
"438","IGHVII-67-1"
"439","IGHVIII-67-2"
"440","IGHVIII-67-3"
"441","IGHVIII-67-4"
"442","IGHV1-68"
"443","IGHV1-69"
"444","IGHV2-70D"
"445","IGHV3-69-1"
"446","IGHV1-69-2"
"447","IGHV1-69D"
"448","IGHV2-70"
"449","IGHV3-71"
"450","IGHV3-72"
"451","IGHV3-73"
"452","IGHV3-74"
"453","IGHVII-74-1"
"454","IGHV3-75"
"455","IGHV3-76"
"456","IGHVIII-76-1"
"457","IGHV5-78"
"458","IGHVII-78-1"
"459","IGHV3-79"
"460","IGHV4-80"
"461","IGHV7-81"
"462","IGHVIII-82"
"463","IGHV1OR15-9"
"464","IGHV1OR15-2"
"465","IGHV3OR15-7"
"466","IGHV1OR15-6"
"467","IGHV1OR15-1"
"468","IGHV1OR15-3"
"469","IGHV4OR15-8"
"470","IGHV1OR15-4"
"471","IGHV1OR16-1"
